date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:43:14	229877/229877	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:30:13%20GMT	https://demo.dashboardpack.com/architectui-html-pro/index.html	admin/architect/demo.dashboardpack.com/architectui-html-pro/index.html	(from )
22:43:15	242/242	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2008%20Apr%202023%2021:43:15%20GMT	https://demo.dashboardpack.com/robots.txt		(from )
22:43:16	645774/645774	---MCZ	200	added ('OK')	text/css	etag:W/%22632db4e5-a0bb4%22	https://demo.dashboardpack.com/architectui-html-pro/main.d810cf0ae7f39f28f336.css	admin/architect/demo.dashboardpack.com/architectui-html-pro/main.d810cf0ae7f39f28f336.css	(from https://demo.dashboardpack.com/architectui-html-pro/index.html)
22:43:16	10340/10340	---M--	200	added ('OK')	image/jpeg	etag:%22632db4c0-2864%22	https://demo.dashboardpack.com/architectui-html-pro/assets/images/dropdown-header/abstract2.jpg	admin/architect/demo.dashboardpack.com/architectui-html-pro/assets/images/dropdown-header/abstract2.jpg	(from https://demo.dashboardpack.com/architectui-html-pro/index.html)
22:43:17	21793/21793	---M--	200	added ('OK')	image/jpeg	etag:%22632db4c0-5521%22	https://demo.dashboardpack.com/architectui-html-pro/assets/images/dropdown-header/abstract3.jpg	admin/architect/demo.dashboardpack.com/architectui-html-pro/assets/images/dropdown-header/abstract3.jpg	(from https://demo.dashboardpack.com/architectui-html-pro/index.html)
22:43:18	12345/12345	---M--	200	added ('OK')	image/jpeg	etag:%22632db4c1-3039%22	https://demo.dashboardpack.com/architectui-html-pro/assets/images/dropdown-header/abstract4.jpg	admin/architect/demo.dashboardpack.com/architectui-html-pro/assets/images/dropdown-header/abstract4.jpg	(from https://demo.dashboardpack.com/architectui-html-pro/index.html)
22:43:19	27386/27386	---M--	200	added ('OK')	image/jpeg	etag:%22632db4c3-6afa%22	https://demo.dashboardpack.com/architectui-html-pro/assets/images/dropdown-header/city3.jpg	admin/architect/demo.dashboardpack.com/architectui-html-pro/assets/images/dropdown-header/city3.jpg	(from https://demo.dashboardpack.com/architectui-html-pro/index.html)
22:43:20	3374/3374	---M--	200	added ('OK')	image/jpeg	etag:%22632db4bc-d2e%22	https://demo.dashboardpack.com/architectui-html-pro/assets/images/avatars/1.jpg	admin/architect/demo.dashboardpack.com/architectui-html-pro/assets/images/avatars/1.jpg	(from https://demo.dashboardpack.com/architectui-html-pro/index.html)
22:43:21	3096/3096	---M--	200	added ('OK')	image/jpeg	etag:%22632db4bd-c18%22	https://demo.dashboardpack.com/architectui-html-pro/assets/images/avatars/2.jpg	admin/architect/demo.dashboardpack.com/architectui-html-pro/assets/images/avatars/2.jpg	(from https://demo.dashboardpack.com/architectui-html-pro/index.html)
22:43:22	2709/2709	---M--	200	added ('OK')	image/jpeg	etag:%22632db4bd-a95%22	https://demo.dashboardpack.com/architectui-html-pro/assets/images/avatars/3.jpg	admin/architect/demo.dashboardpack.com/architectui-html-pro/assets/images/avatars/3.jpg	(from https://demo.dashboardpack.com/architectui-html-pro/index.html)
22:43:23	3099/3099	---M--	200	added ('OK')	image/jpeg	etag:%22632db4bd-c1b%22	https://demo.dashboardpack.com/architectui-html-pro/assets/images/avatars/4.jpg	admin/architect/demo.dashboardpack.com/architectui-html-pro/assets/images/avatars/4.jpg	(from https://demo.dashboardpack.com/architectui-html-pro/index.html)
22:43:24	3252/3252	---M--	200	added ('OK')	image/jpeg	etag:%22632db4bd-cb4%22	https://demo.dashboardpack.com/architectui-html-pro/assets/images/avatars/5.jpg	admin/architect/demo.dashboardpack.com/architectui-html-pro/assets/images/avatars/5.jpg	(from https://demo.dashboardpack.com/architectui-html-pro/index.html)
22:43:25	2964/2964	---M--	200	added ('OK')	image/jpeg	etag:%22632db4be-b94%22	https://demo.dashboardpack.com/architectui-html-pro/assets/images/avatars/9.jpg	admin/architect/demo.dashboardpack.com/architectui-html-pro/assets/images/avatars/9.jpg	(from https://demo.dashboardpack.com/architectui-html-pro/index.html)
22:43:26	3418/3418	---M--	200	added ('OK')	image/jpeg	etag:%22632db4be-d5a%22	https://demo.dashboardpack.com/architectui-html-pro/assets/images/avatars/7.jpg	admin/architect/demo.dashboardpack.com/architectui-html-pro/assets/images/avatars/7.jpg	(from https://demo.dashboardpack.com/architectui-html-pro/index.html)
22:43:27	2684/2684	---M--	200	added ('OK')	image/jpeg	etag:%22632db4be-a7c%22	https://demo.dashboardpack.com/architectui-html-pro/assets/images/avatars/8.jpg	admin/architect/demo.dashboardpack.com/architectui-html-pro/assets/images/avatars/8.jpg	(from https://demo.dashboardpack.com/architectui-html-pro/index.html)
22:43:28	31540/31540	---M--	200	added ('OK')	image/jpeg	etag:%22632db4c3-7b34%22	https://demo.dashboardpack.com/architectui-html-pro/assets/images/dropdown-header/city2.jpg	admin/architect/demo.dashboardpack.com/architectui-html-pro/assets/images/dropdown-header/city2.jpg	(from https://demo.dashboardpack.com/architectui-html-pro/index.html)
22:43:30	98907/98907	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:30:02%20GMT	https://demo.dashboardpack.com/architectui-html-pro/dashboards-commerce.html	admin/architect/demo.dashboardpack.com/architectui-html-pro/dashboards-commerce.html	(from https://demo.dashboardpack.com/architectui-html-pro/index.html)
22:43:31	125348/125348	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:30:03%20GMT	https://demo.dashboardpack.com/architectui-html-pro/dashboards-sales.html	admin/architect/demo.dashboardpack.com/architectui-html-pro/dashboards-sales.html	(from https://demo.dashboardpack.com/architectui-html-pro/index.html)
22:43:31	107017/107017	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:30:02%20GMT	https://demo.dashboardpack.com/architectui-html-pro/dashboards-minimal-1.html	admin/architect/demo.dashboardpack.com/architectui-html-pro/dashboards-minimal-1.html	(from https://demo.dashboardpack.com/architectui-html-pro/index.html)
22:43:33	108724/108724	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:30:03%20GMT	https://demo.dashboardpack.com/architectui-html-pro/dashboards-minimal-2.html	admin/architect/demo.dashboardpack.com/architectui-html-pro/dashboards-minimal-2.html	(from https://demo.dashboardpack.com/architectui-html-pro/index.html)
22:43:34	126502/126502	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:30:02%20GMT	https://demo.dashboardpack.com/architectui-html-pro/dashboards-crm.html	admin/architect/demo.dashboardpack.com/architectui-html-pro/dashboards-crm.html	(from https://demo.dashboardpack.com/architectui-html-pro/index.html)
22:43:35	3815/3815	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:30:14%20GMT	https://demo.dashboardpack.com/architectui-html-pro/pages-login.html	admin/architect/demo.dashboardpack.com/architectui-html-pro/pages-login.html	(from https://demo.dashboardpack.com/architectui-html-pro/index.html)
22:43:36	2467/2467	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:30:14%20GMT	https://demo.dashboardpack.com/architectui-html-pro/pages-login-boxed.html	admin/architect/demo.dashboardpack.com/architectui-html-pro/pages-login-boxed.html	(from https://demo.dashboardpack.com/architectui-html-pro/index.html)
22:43:37	3578/3578	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:30:15%20GMT	https://demo.dashboardpack.com/architectui-html-pro/pages-register.html	admin/architect/demo.dashboardpack.com/architectui-html-pro/pages-register.html	(from https://demo.dashboardpack.com/architectui-html-pro/index.html)
22:43:38	2919/2919	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:30:14%20GMT	https://demo.dashboardpack.com/architectui-html-pro/pages-register-boxed.html	admin/architect/demo.dashboardpack.com/architectui-html-pro/pages-register-boxed.html	(from https://demo.dashboardpack.com/architectui-html-pro/index.html)
